drug,disease
cyclosporine,Keratoconjunctivitis Sicca
argatroban,Thrombosis
valproate,Manic Episode
iodine I-131,Malignant neoplasm of thyroid
fluoxetine,Post-Traumatic Stress Disorder
hydrochlorothiazide,Heart failure
nebivolol,Mitral Valve Prolapse
clarithromycin,Pneumonia
tigecycline,Bacteremia
imiquimod,Superficial basal cell carcinoma
pitavastatin,"Diabetes Mellitus, Non-Insulin-Dependent"
amphotericin B,Invasive Pulmonary Aspergillosis
griseofulvin,Tinea Capitis
progesterone,Peripheral perfusion
clozapine,Suicide risk (observable entity)
interferon alfa-2b,Malignant Carcinoid Syndrome
ephedrine,Hypotension
lidocaine,Neuralgia
paroxetine,Body Dysmorphic Disorder
tempol,Obesity
corilagin,"Fibrosis, Liver"
atenolol,Supraventricular tachycardia
iopromide,Urography
cefotaxime,Plague
carboplatin,Recurrent Carcinoma
dexamethasone,Metastatic malignant neoplasm to brain
bicalutamide,Hormone sensitive prostate cancer
fludarabine,Cancer
prednisolone,Arthritis
lenvatinib,Papillary thyroid carcinoma
Steroids,Ulcerative Colitis
mannitol,Cystic Fibrosis
cephaloridine,Gonorrhea
ceftazidime,Melioidosis
Clodronate,"Osteoarthritis, Knee"
alprostadil,Erectile Dysfunction
urokinase,Thromboembolism
hydrocortisone,"Arthritis, Gouty"
duloxetine,Persistent Depressive Disorder
isosorbide mononitrate,Angina Pectoris
ferric oxide yellow,"Pregnancy Complications, Hematologic"
pantoprazole (as pantoprazole sodium sesquihydrate),Heartburn
nystatin,Oral Thrush
albuterol,Airways obstruction reversible
diltiazem,Angina Pectoris
bismuth hydroxide,Diarrhea
TIC protocol,Malignant Testicular Germ Cell Tumor
vincristine sulfate,Rhabdomyosarcoma
testosterone,Body Composition
hydrocortisone acetate,Pruritus Ani
acetylcysteine sodium,Amyloidosis
estrogens,Meningioma
almasilate anhydrous,Dyspepsia
tetracycline trihydrate,Granuloma Inguinale
amantadine,Chronic Fatigue Syndrome
cephalexin,Acute otitis media
Adriamycin,Malignant neoplasm of breast
Alisertib,Carcinoma breast stage IV
voriconazole,Meningitis
Insulin,Health Personnel
sulfacetamide,Acne Vulgaris
bictegravir,HIV
tenofovir,HIV Infection
gentamicin,Endocarditis enterococcal
escitalopram,Body Dysmorphic Disorder
minocycline hydrochloride,Psittacosis
topiramate,Seizures (Convulsions)
goserelin acetate,Mammary Neoplasms
rivaroxaban,Atrial Fibrillation
ampicillin,Meningococcal Infections
apremilast,"Arthritis, Psoriatic"
carglumic acid,Hyperammonemia (disorder)
midazolam,Intracranial Hypertension
celecoxib,Period Pain (Dysmenorrhea)
ezetimibe,High Cholesterol
lithium,Cluster Headaches
ampicillin,Typhoid Fever
magnesium oxide,Incomplete passage of stool
poly-ureaurethane,Nail Dystrophy
cefoxitin,Methicillin resistant Staphylococcus aureus infection
promethazine,Anaphylaxis
oxaliplatin,Malignant neoplasm of gastrointestinal tract
itraconazole,Chronic sinusitis
promazine hydrochloride,Schizophrenia
tamoxifen,Breast Cancer Model
sertraline,Borderline Personality Disorder
Particle,Malignant neoplasm of prostate
flumazenil,Benzodiazepine poisoning
netarsudil,"Glaucoma, Open-Angle"
teniposide,Acute lymphocytic leukemia
venlafaxine,Somatoform Pain Disorder
nabumetone,Muscle Pain
pyridostigmine,Contracture
amphotericin B,Chronic localized mucocutaneous candidiasis
irinotecan,Esophageal carcinoma
estrogens,Thromboembolism
phenylbutazone,Ankylosing spondylitis
ribavirin,hepatitis B virus
potassium undecylenate,Mycoses
zalcitabine,HIV Infections
epinephrine,Obesity
famotidine,Urticaria
sodium thiosulfate,Calcinosis
captopril,Refractory hypertension
carnitine,Heart Diseases
resveratrol,Colorectal Carcinoma
glycine,Asthma
temozolomide,gliosarcoma
diethylcarbamazine citrate,Filarial Elephantiases
prednisolone,Contact Dermatitis
levoketoconazole,Mycoses
Gentamicins,Endocarditis enterococcal
anistreplase,Pulmonary Embolism
lidocaine,Gastrointestinal Surgery
everolimus,Subependymal Giant Cell Astrocytoma
vitamin A,Fibrosis
quinine,"Malaria, Cerebral"
quinine,Pertussis
valproic acid,Retinitis Pigmentosa
quetiapine,Schizophrenia
sumatriptan,Migraine Disorders
melatonin,Solid Neoplasm
cortisone,Typhoid Fever
clavulanic acid,Streptomyces clavuligerus
resveratrol,Chronic inflammation
bromperidol,Schizophrenia Spectrum and Other Psychotic Disorders
aspirin,Stable angina
doxycycline,Skin or Soft Tissue Infection
leucine,"Anemia, Diamond-Blackfan"
pentoxifylline,Functional disorder
"dextran, high molecular weight",Bleeding Disorder
Aureomycin,Lymphogranuloma Venereum
acetaminophen / butalbital / caffeine / codeine,Headache
paroxetine,Somatoform Pain Disorder
valacyclovir,Herpes zoster (disorder)
ulipristal,Emergency Contraception (Postcoital Contraception)
ethinamate,Sleeplessness
lenalidomide,MYELODYSPLASTIC SYNDROME
ibuprofen,Osteoarthritis
imatinib,Chronic eosinophilic leukemia
"antihemophilic factor, porcine",Factor VII Deficiency
flucytosine,Mycoses
fluocinolone acetonide,Chronic small plaque psoriasis
cefadroxil,Proteus urinary tract infection
raloxifene,"Breast Cancer, Prevention"
indomethacin,Low Birth Weights
sulfisoxazole,Infective otitis media
flumethasone,Exanthema
cefoxitin sodium,"Pregnancy Complications, Infectious"
linaclotide,Constipation
rifampin,Septicemia
mirabegron,Lower Urinary Tract Symptoms
pyridoxine,Poisoning
Steroids,"Lung Diseases, Interstitial"
dexbrompheniramine / phenylephrine,Rhinorrhea
gentamicin,Paronychia
pentobarbital sodium,Absence of sensation
clarithromycin,Strep Throat (Streptococcal Pharyngitis)
citalopram,Obsessive Compulsive Disorder
tanshinone II A,Diabetic Nephropathy
prednisolone,Iritis
trospium,Interstitial Cystitis
norepinephrine,Depressive disorder
etoposide,Nongerminomatous Germ Cell Tumor
cabozantinib,Conventional (Clear Cell) Renal Cell Carcinoma
glucose,Falls
amitriptyline,Urinary Incontinence
"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein",Hemophilia A
fingolimod hydrochloride,"Multiple Sclerosis, Relapsing-Remitting"
leucovorin,Neoplasm Metastasis
glycopyrrolate,Respiratory Tract Diseases
ciprofloxacin,Bacterial prostatitis
haloperidol,Hemiballismus
tromethamine,Cystitis
arginine,Systemic arterial pressure
Oxazolidinones,Gram-Positive Bacterial Infections
inclisiran,Hypercholesterolemia
amlodipine,Anginal attack
lithium,Bipolar Disorder
doxorubicin hydrochloride liposome,Ovarian Carcinoma
arginine,Obesity
oat smut allergenic extract,Hypersensitivity
carboplatin,Malignant Neoplasms
bupivacaine,Chronic pain
ceftriaxone,"Syphilis, Early"
paroxetine,Obsessive Compulsive Disorder
cetuximab,Squamous cell carcinoma
epigallocatechin gallate,Hypersensitivity
gadodiamide,Vascular Magnetic Resonance Imaging
cyproheptadine pyrid phos,Nelson Syndrome
bevacizumab,Renal Cell Carcinoma
mercaptopurine,Acute Promyelocytic Leukemia
insulin degludec,Diabetes Mellitus
sanguinarine,Neuralgia
oxytetracycline,Gonorrhea of rectum
bifonazole,Dermatomycoses
edoxaban,Thrombosis
ephedrine sulfate,Rhinitis
leflunomide,"Lupus Erythematosus, Systemic"
aspirin,Polycythemia Vera
empagliflozin,Diabetes
azathioprine,Eczema
amoxicillin / clavulanate,Small Bowel Bacterial Overgrowth
midazolam,Amnesia
timolol,Disorder of intraocular pressure
acetaminophen / pseudoephedrine,Sinus Symptoms
miconazole,Balanoposthitis
thiamine,Mineral deficiency
estradiol,Cerebrovascular accident
venlafaxine,Postpartum Depression
timolol maleate,Disorder of intraocular pressure
ubrogepant,Common Migraine
formalin,Radiation proctitis
tobramycin,Peritonitis
cilastatin,Streptococcal pneumonia
cytarabine,Lymphoma
sulfisoxazole diolamine,Respiratory Tract Fistula
Sodium Butyrate,Diarrhea
Steroids,Retroperitoneal fibrosis
dexamethasone,Keloid
betamethasone valerate,Psoriasis
sulforafan,Malignant neoplasm of breast
Quinolones,Neisseria gonorrhoeae
melphalan,Ovarian Cancer
ertapenem,Haemophilus Infections
infliximab-axxq,"Arthritis, Psoriatic"
Trimethoprim-Sulfamethoxazole Combination,Acute lymphocytic leukemia
lefamulin,Mycoplasma pneumonia
Steroids,Headache
calcitriol,Rickets
bupropion,ADHD (Attention Deficit Hyperactivity Disorder)
bezafibrate,Insulin Sensitivity
naloxegol,Opioid-Induced Constipation
ensartinib,Non-Small Cell Lung Carcinoma
"botulinum neurotoxin C immune FAB2, equine",Botulism
defibrotide,Peripheral Vascular Diseases
Particle,Malignant Neoplasms
isoproterenol,Ventricular Fibrillation
dexamethasone acetate anhydrous,"Tuberculosis, Pulmonary"
diaziquone,Malignant Neoplasms
mexiletine,Diabetic Neuralgia
clotrimazole,Oral Thrush
cocaine,Coughing
praziquantel,Echinococcus
sodium chloride,Essential Hypertension
tacrolimus,Myositis
ciprofloxacin,Sinusitis
posaconazole,Oral Thrush
leucovorin calcium,Campylobacter
metoclopramide,Nausea/Vomiting
warfarin,Pulmonary Thromboembolisms
Gastrografin,Intestinal Obstruction
vitamin B12,Hispanics
warfarin,Cerebral venous sinus thrombosis
progesterone,Perimenopausal Symptoms
imatinib mesylate,Blast Phase
acebutolol,Cardiac Arrhythmia
fenbufen,Degenerative polyarthritis
voriconazole,Candidemia
aztreonam,Infections specific to perinatal period
betamethasone / clotrimazole,Tinea Cruris
tranexamic acid,Uterine hemorrhage
papaverine codecarboxylate,Angina Pectoris
onabotulinumtoxinA,Blepharospasm
salicylamide,Back Pain
multivitamin,Hyperhomocysteinemia
Particle,Malignant neoplasm of breast
cefuroxime sodium,Impetigo
niraparib,Peritoneal Cancer
clonidine,Atrial Fibrillation
vitamin B12,Lactobacillus leichmannii
terbinafine,Cutaneous sporotrichosis
pyridoxine,Hyperprolactinemia
piperacillin-tazobactam combination,Malignant Childhood Neoplasm
telotristat ethyl,Malignant Carcinoid Syndrome
methylprednisolone,"Pneumonia, Interstitial"
methotrexate,Diffuse Large B-Cell Lymphoma
torsemide,Heart failure
Insulin,Acute hyperkalemia
wound care,"Fractures, Open"
Adriamycin-Bleomycin-Vinblastine-Dacarbazine Regimen,Classical Hodgkin's Lymphoma
sertraline,Premature Ejaculation
conivaptan hydrochloride,Hyponatremia
Adriamycin,Hepatoblastoma
8-MOP,Vitiligo
sulfisoxazole,Meningococcal meningitis
"tocopherol,DL-alpha","Anemia, Hemolytic"
doxycycline,Pneumonia
NHL-BFM-90 Regimen,Childhood Diffuse Large B-Cell Lymphoma
magnesium sulfate dihydrate,Torsades de Pointes
ketoconazole,Vaginal Yeast Infection
flecainide acetate,Supraventricular arrhythmia
digoxin,Chronic atrial fibrillation
vincristine,Acute Myeloid Leukemia
ipratropium bromide,"Bronchitis, Chronic"
prednisolone,Nephrotic Syndrome
capecitabine,Renal Cell Carcinoma
azelaic acid,Rosacea
progesterone,Asymptomatic (finding)
duloxetine,Chronic Fatigue Syndrome
oxymatrine,"Hepatitis B, Chronic"
pravastatin,Reperfusion Injury
minocycline,Bartonellosis
somatostatin,Duodenal Ulcer
Quinolones,Staphylococcus aureus
cabergoline,Fluctuation
labetalol,Angina Pectoris
levamisole,Steroid-Sensitive Nephrotic Syndrome
sulfisoxazole,Respiratory Tract Fistula
carbamazepine,Occipital Neuralgia
mianserin,Mental Depression
ursodeoxycholate,Cholestasis
nalidixic acid,Cystitis
prochlorperazine,Nausea
fluticasone / vilanterol,COPD
sodium dodecyl sulfate,Dissociation
trastuzumab-dttb,Gastrointestinal Neoplasms
piperacillin,Hospital acquired pneumonia
sodium stibogluconate,"Leishmaniasis, Cutaneous"
voriconazole,Chronic pulmonary aspergillosis
bedaquiline fumarate,"Tuberculosis, Multidrug-Resistant"
oxaprozin,Rheumatoid Arthritis
venlafaxine,Malignant neoplasm of breast
baclofen,"Spasticity, CTCAE"
dorzolamide hydrochloride,Glaucoma
norethindrone,Atrophy of vulva
ganciclovir,Malignant Neoplasms
silver sulfadiazine,Skin Ulcer
mitoxantrone,"Lymphoma, Non-Hodgkin"
nitisinone,Alkaptonuria
acipimox,"Diabetes Mellitus, Non-Insulin-Dependent"
urokinase,Hydrocephalus
almotriptan,Migraine
cabozantinib,Medullary carcinoma of thyroid
chloramphenicol,"Eye Infections, Bacterial"
fluorouracil,Stomach Cancer
fluorodeoxyglucose F18,Neoplasms
hetacillin potassium,Surgical Wound Infection
ertapenem,Bacterial Infections
Etoposide-Vinblastine-Adriamycin Regimen,Refractory Hodgkin Lymphoma
celecoxib,Osteoarthritis
hydrochlorothiazide / spironolactone,Nephrotic Syndrome
trametinib,Neoplasms
brentuximab,Lymphoma
levosimendan,Cardiac Arrest
dienogest,Dysmenorrhea
nizatidine,Heartburn
cortisone acetate,Cyclitis
Agmatine,Memory impairment
levofloxacin,Urinary Tract Infection
diclofenac,Migraine
"insulin, protamine zinc, beef",Hyperglycemia
methotrexate,Malignant Pleural Mesothelioma
paroxetine,Trichotillomania
amphotericin B colloidal dispersion,Cutaneous Candidiasis
elagolix,Endometriosis
dextran 40,Iron deficiency anemia
pentostatin,Hairy Cell Leukemia
lamotrigine,Bipolar Disorder
rosuvastatin,"Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL"
estramustine,Neoplasms
lapatinib,Neoplasm Metastasis
penicillin G benzathine,Erysipelothrix infection
clindamycin,Peritonitis
prednisone,Erythema Multiforme
tamoxifen,Precocious Puberty
ketoconazole,"Candidiasis, Vulvovaginal"
"3,4-Methylenedioxyamphetamine","Diabetes Mellitus, Insulin-Dependent"
loperamide,Diarrhea
zinc,"Dermatitis, Atopic"
urea,Inappropriate ADH Syndrome
melatonin,Cholestasis
amphotericin b,Oral Thrush
celecoxib,Spondyloarthritis
paroxetine,Post-Traumatic Stress Disorder
clonidine,Heart failure
losartan,Functional disorder
fusidic acid,Rosacea
prednisone,Sarcoidosis
fenofibric acid,High Cholesterol
vancomycin,Pseudomembranous Colitis
reserpine,"Alcoholic Intoxication, Chronic"
fluoxetine,Dissociative Identity Disorder
netilmicin,Urinary tract infection
captopril,Unilateral renal artery stenosis
valganciclovir,AIDS-Related Opportunistic Infections
dexamethasone,Retinoic acid syndrome
atorvastatin,abnormal glucose tolerance test
penicillin V benzathine,Diphtheria due to Corynebacterium diphtheriae
telavancin,Staphylococcus aureus
iron,Staphylococcus aureus
hydroxychloroquine,Rheumatoid Arthritis
acetylcholine,Chronic heart failure
cholesterol,Obesity
amantadine hydrochloride,Dystonia
idarubicin,leukemia
lansoprazole,Laryngopharyngeal Reflux
estrogens,Protection
aspirin,Antiphospholipid Syndrome
oclacitinib,"Dermatitis, Atopic"
itraconazole,Immunocompromised Host
acetylcysteine zinc,Respiratory Distress Syndrome
nafcillin,Osteomyelitis
voriconazole,Ocular Fungal Infection
paclitaxel,Breast Carcinoma
Adriamycin,Malignant neoplasm of urinary bladder
ipratropium,Asthma
praziquantel,Dog Tapeworm Infection (Dipylidium caninum)
amlodipine,Heart Failure (Congestive Heart Failure)
eribulin,Mammary Neoplasms
icatibant,"Angioedemas, Hereditary"
amphotericin B,leukemia
cyclosporine,Seizures
Tigason,Psoriasis
sodium thiosulfate,Uremic pruritus
chlorambucil,leukemia
azithromycin,Sinusitis
methylprednisolone,Acute asthma
povidone-iodine,Conjunctivitis caused by adenovirus
cyclophosphamide lyophilized,Retinoblastoma
ivabradine hydrochloride,Heart failure
exemestane,Neoplasm Metastasis
cisplatin,"Carcinoma, Small Cell"
Tiapamil,Essential Hypertension
doxorubicin,Hepatoblastoma
cyproheptadine,Serotonin Syndrome
sulfamethoxazole / trimethoprim,Pneumocystis Pneumonia Prophylaxis
thalidomide,"Histiocytosis, Langerhans-Cell"
captopril,Cardiac index
eicosapentaenoic acid,"Diabetes Mellitus, Non-Insulin-Dependent"
torsemide,Edema
hydroxyurea,"Thrombocythemia, Essential"
pravastatin,Cerebrovascular accident
tobramycin,Keratoconjunctivitis
ascorbic acid,Advanced cancer
tetracycline trihydrate,Borrelia Infections
ephedrine sulfate,Asthma
nifedipine,Hypotension
telmisartan,Cardiovascular Risk Reduction
dihydrocodeine,"Pain, Postoperative"
levamisole,Ascariasis
"vitamins a, d, and e",Diaper Rash
cisplatin,Bladder Neoplasm
glucose,Morbid obesity
gefitinib,Exanthema
lenacapavir,HIV-1
vosoritide,Achondroplasia
clindamycin,"Skin Diseases, Infectious"
coal tar pitch volatiles,Psoriasis
citalopram,Pervasive Development Disorder
diclofenac potassium,Keratosis
onasemnogene abeparvovec-xioi,Spinal Muscular Atrophy
fusidic acid,Granuloma Inguinale
glutamic acid,Bacillus subtilis
erythromycin estolate,"Eye Infections, Bacterial"
metaxalone,Muscle Spasm (Involuntary Hypertonicity)
racepinephrine hydrochloride,Hypotension
chlorhexidine acetate,"Skin Diseases, Infectious"
aspirin,Peripheral Vascular Diseases
testosterone cypionate,Hormone receptor positive malignant neoplasm of breast
bupropion,Premenstrual Dysphoric Disorder
lorazepam,Catatonia
Fluoropyrimidine,Malignant Neoplasms
dabrafenib,Thyroid Cancer
silver nitrate,Chyluria
alclometasone dipropionate,Exanthema
lenalidomide,"Lymphoma, Non-Hodgkin"
phenoxybenzamine,Pheochromocytoma
hydroxyurea,Uterine Neoplasms
measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine,Mumps Prophylaxis
ergocalciferol,Rickets
Histone deacetylase inhibitor,T-Cell Lymphoma
carbinoxamine,"Rhinitis, Allergic, Perennial"
dexamethasone acetate anhydrous,Bursitis
tadalafil,Erectile Dysfunction
diloxanide furoate,Amoebiasis due to Entamoeba histolytica
Adriamycin,Non-Muscle Invasive Bladder Neoplasms
dopamine,Bradycardia
methylphenidate,Comorbidity
penicillin G potassium,Respiratory Tract Infections
diclofenac,Muscle Pain
tetracycline phosphate complex,Mycoplasma Infections
"insulin isophane, pork","Diabetes Mellitus, Non-Insulin-Dependent"
codeine,Fever
minocycline,Actinomycosis
caffeine,"Sleep Apnea, Central"
Sodium Butyrate,Impaired cognition
hydrocortisone,Ankylosing spondylitis
anastrozole,Malignant neoplasm of endocrine gland
SR-2508,Neoplasms
nitrofurantoin,Acute urinary tract infection
romiplostim,Idiopathic Thrombocytopenic Purpura
velpatasvir,"Hepatitis C, Chronic"
imiquimod,Verrucous Lesion
fluocinonide,Exanthema
tranexamic acid,Menorrhagia
copper,Diabetic
tretinoin,Hematologic Neoplasms
artemisinin,Respiration Disorders
alfentanil,"Pain, Postoperative"
flunarizine,Migraine Disorders
methylprednisolone,Atopic Dermatitis
cefaclor,"Skin Diseases, Bacterial"
dopamine,Major Depressive Disorder
povidone-iodine,Peritonitis
Insulin,Impaired glucose tolerance (disorder)
ethinyl estradiol / norethindrone,Abnormal Uterine Bleeding
amsonic acid,Rheumatoid Arthritis
epirubicin,Carcinoma breast stage IV
delandistrogene moxeparvovec,"Muscular Dystrophy, Duchenne"
avibactam,Proteus Infections
buprenorphine,Drug abuse
nitroglycerin,Raynaud's Syndrome
lisdexamfetamine,Binge Drinking
hydrocortisone,Attention deficit hyperactivity disorder
gemcitabine,Non-Small Cell Lung Carcinoma
praziquantel,Intestinal schistosomiasis
tolazoline hydrochloride,Thromboangiitis Obliterans
penicillin G,Neisseria meningitidis
terbinafine hydrochloride,Tinea Capitis
formoterol,Acute asthma
estradiol,rams
clopidogrel,Cerebrovascular accident
lithium,Diabetic
gefitinib,partial response
cidofovir,Adenoviruses
benztropine,Parkinsonian Disorders
simvastatin,Hypertensive (finding)
doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy
epigallocatechin gallate,Endothelial dysfunction
bimatoprost,Ocular Hypotension
divalproex sodium,Borderline Personality Disorder
fenofibrate,Insulin Resistance
ampicillin,Soft Tissue Infection
Modified CODOX-M-R Regimen,AIDS-Related Non-Hodgkin Lymphoma
penicillin V calcium,Erysipelothrix rhusiopathiae
ceftazidime sodium,Serratia Infections
isoproterenol,"COPD, Acute"
dronedarone,Cardiac Arrhythmia
dicloxacillin,Skin or Soft Tissue Infection
nortriptyline,Burning Mouth Syndrome (Glossopyrosis)
cidofovir,Cytomegalovirus Retinitis
levothyroxine,Malignant Neoplasms
prednisone,Eczema
heroin,Death (finding)
l-methylfolate,Hyperhomocysteinemia
ketoconazole,Immunocompromised Host
isosorbide mononitrate,Myocardial Ischemia
naproxen,Rhinorrhea
bictegravir,HIV Infections
artemisinin,Complicated malaria
estrogens,Vaginal dryness
bosentan,Pulmonary Hypertension
amobarbital,Sleep Initiation and Maintenance Disorders
flunarizine,Vertigo
iodine,Households
aminophylline dihydrate,Bradycardia
etidronate disodium,Osteitis Deformans
isosorbide mononitrate,Angina
mannitol hexanitrate,Prostatic Diseases
goserelin,Bleeding Disorder
neostigmine,Colonic Pseudo-Obstruction
Challenge,Severe asthma
ethanol,Alcohol Use Disorder
sodium chloride,Bronchiolitis
citalopram,Fibromyalgia
"synthetic conjugated estrogens, A",Prostatic Neoplasms
methylprednisolone,"Lymphoma, Non-Hodgkin"
latanoprost,Glaucoma
aripiprazole,Schizophrenia
azithromycin,Uveitis
toltrazuril,Coccidiosis
oxytetracycline,Granuloma Inguinale
doxorubicin,Cardiotoxicity
sulfadiazine sodium,Otitis Media
ceftolozane sulfate,Streptococcal Infections
bacilysin,Bacillus subtilis
methylprednisolone,Asthma
methotrexate,Seronegative arthritis
ascorbic acid,Toxic nephropathy
ampicillin,Surgical Wound Infection
buprenorphine,African American
olaparib,BRCA1 gene mutation
cyclobenzaprine,Fibromyalgia
AI-2 autoinducer,Vibrio harveyi
tranexamic acid,Hereditary hemorrhagic telangiectasia
Cephalosporins,Neisseria gonorrhoeae
"alginate, aluminium hydroxide, magnesium trisilicate, sodium bicarbonate drug combination",Enterobacteriaceae
phenacemide,Epilepsy
Lentinan,Advanced cancer
methylprednisolone,Diabetes
cyclosporine,Psoriasis
doxepin,Pruritus
methylprednisolone,Wounds and Injuries
cisplatin,Testicular Cancer
triamcinolone diacetate,"Tuberculosis, Miliary"
bevacizumab,Non-Small Cell Lung Carcinoma
probucol,"Diabetes Mellitus, Non-Insulin-Dependent"
methotrexate,Ectopic Pregnancy
morphine,OPIOID TOLERANCE
empagliflozin,Cardiovascular Diseases
taurine,Stress
cisplatin,Lung Neoplasms
biotin,Dietary Supplementation
methamphetamine,Methamphetamine abuse
conjugated estrogens,Gender Dysphoria
ceftazidime,Staphylococcal Pneumonia
octreotide,Postural Orthostatic Tachycardia Syndrome
trace elements,Total Parenteral Nutrition
resveratrol,Insulin Sensitivity
prednisone,Mast Cell Neoplasm
Camptothecin,Neoplasms
gold,Malignant neoplasm of prostate
tibolone,Macaca fascicularis
Growth Hormone,Malignant Childhood Neoplasm
bortezomib,melanoma
dextromethorphan,Allergic rhinitis (disorder)
captopril,Pancreatitis
ceftriaxone,inpatient
celastrol,"Arthritis, Gouty"
leptin,Obesity
bivalirudin,Coronary Arteriosclerosis
alendronate,Aseptic Necrosis
didanosine,AIDS related complex
adalimumab-aacf,"Arthritis, Psoriatic"
naproxen,Chronic Myofascial Pain
hydrocortisone,"Lymphoma, Non-Hodgkin"
valproate,Status Epilepticus
levofloxacin,Prostatitis
estriol,Atrophy of vagina
ondansetron,Alcohol Dependence
moxifloxacin hydrochloride monohydrate,Proteus Infections
brolucizumab,Macular Degeneration
methotrexate,Epithelial ingrowth
pilocarpine nitrate,Head and Neck Neoplasms
ampicillin,Urinary Tract Infection
oxygen,Cyanobacteria
sotalol,Atrial Flutter
ciprofloxacin,Lower respiratory tract infection
pioglitazone,Pancreatitis
aztreonam,Bacterial Infections
fondaparinux,Superficial vein thrombosis
methylnaltrexone,Opioid-Induced Constipation
perampanel,Epilepsy
alprazolam,Anxiety
oxaliplatin,Metastatic malignant neoplasm to pancreas
urokinase,Thrombotic/Thromboembolic Disorder
vardenafil,Erectile dysfunction
calcium chloride,Hypocalcemic tetany
doxycycline,Ehrlichiosis
warfarin,Acute Coronary Syndrome
colchiceine,Gout
irinotecan,Colorectal Cancer
streptozocin,Mesocricetus auratus
indomethacin sodium,Rheumatoid Arthritis
alprazolam,Borderline Personality Disorder
betamethasone dipropionate,Granuloma Annulare
chlorothiazide,Pre-Eclampsia
metronidazole,Pseudomembranous Colitis
aspirin,"Purpura, Thrombotic Thrombocytopenic"
indomethacin,Gout
mometasone furoate,Contact Dermatitis
isopropamide,Diarrhea
gemcitabine,Carcinoma breast stage IV
aspirin,Back Pain
triamcinolone,Loeffler's Syndrome (Pulmonary Eosinophilia)
fluocinonide,"Lymphoma, T-Cell, Cutaneous"
hydroflumethiazide,Heart failure
"Analgesics, Opioid",Acute low back pain
oxymatrine,Psoriasis
naloxone,"Hypothermia, natural"
erythromycin ethylsuccinate,Gastroenteritis
topotecan,leukemia
tropisetron,Vomiting
minocycline,Acne Vulgaris
tetracycline trihydrate,"Eye Infections, Bacterial"
ceftriaxone,Salmonella
